symbol;name;country;currency
"IRTMIDCAP";"IRT MidCap";"Mexico";"MXN"
"IRTSMALLCAP";"IRT SmallCap";"Mexico";"MXN"
"ISEOG";"ISEQ ENERGY";"Netherlands";"EUR"
"ISOGG";"ISEQ ENERGY GR";"Netherlands";"EUR"
"ITAT";"VANECK TAT INAV";"Netherlands";"EUR"
"ITCBT";"VANECK TCBT INAV";"Netherlands";"EUR"
"ITGBT";"VANECK TGBT INAV";"Netherlands";"EUR"
"ITGET";"VANECK TGET INAV";"Netherlands";"EUR"
"ITLMS";"FTSE Italia All-Share Index";"Italy";"EUR"
"ITRET";"VANECK TRET INAV";"Netherlands";"EUR"
"ITX7L";"ITALIA X 7";"Netherlands";"EUR"
"ITX7S";"ITALIA X -7";"Netherlands";"EUR"
"IUX";"S&P 500 Insurance ";"United States";"USD"
"IXIC";"NASDAQ Composite";"United States";"USD"
"K716S";"DAX/SG WT 16";"Netherlands";"EUR"
"KBC5L";"KBC5L INDEX";"Belgium";"EUR"
"KOSDAQ";"Kosdaq Composite Index";"South Korea";"KRW"
"KOSPI";"KOSPI Composite Index";"South Korea";"KRW"
"KOSPI100EW";"KOSPI-100 Equally Weighted Inde";"Pakistan";"KRW"
"KOSPI200EW";"KOSPI-200 Equally Weighted Inde";"Pakistan";"KRW"
"KQ100";"Kosdaq 100 Index";"South Korea";"KRW"
"KQ11";"Kosdaq Composite Index";"South Korea";"KRW"
"KQ12";"Kosdaq Manufacturing Index";"South Korea";"KRW"
"KQ14";"Kosdaq Construction Index";"South Korea";"KRW"
"KQ15";"Kosdaq Financials Index";"South Korea";"KRW"
"KQ15I";"Indicative Kosdaq IT  Index";"South Korea";"KRW"
"KQ16";"Kosdaq Other Services Index";"South Korea";"KRW"
"KQ181";"KOSDAQ Prime Index";"South Korea";"KRW"
"KQ181I";"KOSDAQ Prime Indicative Index";"South Korea";"KRW"
"KQ182";"KOSDAQ Venture Index";"South Korea";"KRW"
"KQ182I";"KOSDAQ Venture Indicative Index";"South Korea";"KRW"
"KQ183";"KOSDAQ Standard Index";"South Korea";"KRW"
"KQ183I";"KOSDAQ Standard Indicative Inde";"South Korea";"KRW"
"KQ184";"KOSDAQ Growth Index";"South Korea";"KRW"
"KQ184I";"KOSDAQ Growth Indicative Index";"South Korea";"KRW"
"KQ19";"Kosdaq Distribution Index";"South Korea";"KRW"
"KQ20";"Kosdaq Transportation Index";"South Korea";"KRW"
"KQ21";"Kosdaq Food Berverage & Tobacco";"South Korea";"KRW"
"KQ22";"Kosdaq Textile & Apparel Index";"South Korea";"KRW"
"KQ23";"Kosdaq Paper & Wood Products In";"South Korea";"KRW"
"KQ24";"Kosdaq Publishing & Printing In";"South Korea";"KRW"
"KQ25";"Kosdaq Chemicals Index";"South Korea";"KRW"
"KQ26";"Kosdaq Pharmaceuticals Index";"South Korea";"KRW"
"KQ27";"Kosdaq Non-Metal Products Index";"South Korea";"KRW"
"KQ28";"Kosdaq Metal Products Index";"South Korea";"KRW"
"KQ29";"Kosdaq Machinery Index";"South Korea";"KRW"
"KQ30";"Kosdaq Electric & Electronic In";"South Korea";"KRW"
"KQ300";"Kosdaq MID300 Index";"South Korea";"KRW"
"KQ31";"Kosdaq Medical & Precision Mach";"South Korea";"KRW"
"KQ32";"Kosdaq Vehicles & Components In";"South Korea";"KRW"
"KQ33";"Kosdaq Other Manufacturing Inde";"South Korea";"KRW"
"KQ36";"Kosdaq Telecom & Broadcasting I";"South Korea";"KRW"
"KQ37";"Kosdaq Telecommunications Index";"South Korea";"KRW"
"KQ38";"Kosdaq Broadcasting Index";"South Korea";"KRW"
"KQ39";"Kosdaq IT Software & Services I";"South Korea";"KRW"
"KQ40";"Kosdaq Internet Index";"South Korea";"KRW"
"KQ41";"Kosdaq Digital Contents Index";"South Korea";"KRW"
"KQ42";"Kosdaq Software Index";"South Korea";"KRW"
"KQ43";"Kosdaq Computer Services Index";"South Korea";"KRW"
"KQ44";"Kosdaq IT Hardware Index";"South Korea";"KRW"
"KQ45";"Kosdaq Telecom & Broadcasting E";"South Korea";"KRW"
"KQ46";"Kosdaq Computer Hardware Index";"South Korea";"KRW"
"KQ47";"Kosdaq Semiconductors Index";"South Korea";"KRW"
"KQ48";"Kosdaq IT Components Index";"South Korea";"KRW"
"KQ51";"kosdaq Entertainment & Culture ";"South Korea";"KRW"
"KQI";"Indicative Kosdaq Composite Ind";"South Korea";"KRW"
"KQSM";"Kosdaq Small Index";"South Korea";"KRW"
"KRX100EW";"KRX-100 Equally Weighted Index";"Pakistan";"KRW"
"L214S";"EUJPY/SG WT 17";"Netherlands";"EUR"
"L215S";"EUJPY/SG WT 17";"Netherlands";"EUR"
"L298S";"EURUSD/SG P-WT 17";"Netherlands";"EUR"
"LC100";"LC 100 EUROPE";"Netherlands";"EUR"
"LC1GR";"LC 100 EUROPE GR";"Netherlands";"EUR"
"LC1NR";"LC 100 EUROPE NR";"Netherlands";"EUR"
"L&P";"Land And Property Index";"Sri Lanka";"LKR"
"LPTNT";"PACKAGETNT";"Netherlands";"EUR"
"LX";"FTSE LATIBEX ALL SHARE";"Spain";"EUR"
"MDE1G";"M DM EUROPE 100 GR";"Netherlands";"EUR"
"MDE1N";"M DM EUROPE 100 NR";"Netherlands";"EUR"
"MDE1P";"M DM EUROPE 100 PR";"Netherlands";"EUR"
"ME50G";"MSG EUROZONE 50 GR";"Netherlands";"EUR"
"ME50N";"MSG EUROZONE 50 NR";"Netherlands";"EUR"
"ME50P";"MSG EUROZONE 50 PR";"Netherlands";"EUR"
"MOEXREPO";"MOEX REPO 12:30";"Russia";"RUB"
"MOEXREPO1W";"MOEX REPO 1W";"Russia";"RUB"
"MOEXREPOUSD";"MOEX REPO USD";"Russia";"USD"
"MREUG";"AMX GR";"Netherlands";"EUR"
"MREUN";"AMX NR";"Netherlands";"EUR"
"MREUT";"AMX-INDEX";"Netherlands";"EUR"
"MT5L";"MT5L INDEX";"France";"EUR"
"MXX";"IPC MEXICO";"Mexico";"MXN"
"N225";"Nikkei 225";"Japan";"JPY"
"NDX";"NASDAQ 100";"United States";"USD"
"NEIBI";"IBERIAN INDEX";"Portugal";"EUR"
"NEIBN";"IBERIAN IDX NR";"Portugal";"EUR"
"NEIBT";"IBERIAN IDX GR";"Portugal";"EUR"
"NILE";"NILE";"United States";"EGP"
"NLBM";"AEX BASIC MATER.";"Netherlands";"EUR"
"NLBMG";"AEX BASIC MATER GR";"Netherlands";"EUR"
"NLCG";"AEX CONS DISCR";"Netherlands";"EUR"
"NLCGG";"AEX CONS DISCR GR";"Netherlands";"EUR"
"NLCM";"AEX CONSTR.& MATER.";"Netherlands";"EUR"
"NLCNG";"AEX CNSTR & MAT GR";"Netherlands";"EUR"
"NLCS";"AEX CONS STAPLES";"Netherlands";"EUR"
"NLCSG";"AEX CONS STAPL GR";"Netherlands";"EUR"
"NLEI";"AEX EQ INV INSTR";"Netherlands";"EUR"
"NLFIN";"AEX FINANCIALS";"Netherlands";"EUR"
"NLFNG";"AEX FINANCIALS GR";"Netherlands";"EUR"
"NLGF";"AEX GENERAL FINANC.";"Netherlands";"EUR"
"NLGFG";"AEX FINAN SERV GR";"Netherlands";"EUR"
"NLHC";"AEX HEALTH CARE";"Netherlands";"EUR"
"NLHCG";"AEX HLTH CARE GR";"Netherlands";"EUR"
"NLIN";"AEX INDUSTRIALS";"Netherlands";"EUR"
"NLING";"AEX INDUSTRIALS GR";"Netherlands";"EUR"
"NLOG";"AEX ENERGY";"Netherlands";"EUR"
"NLOGG";"AEX ENERGY GR";"Netherlands";"EUR"
"NLRE";"AEX REAL ESTATE";"Netherlands";"EUR"
"NLREG";"AEX REAL ESTATE GR";"Netherlands";"EUR"
"NLSSG";"AEX SUP SERV GR";"Netherlands";"EUR"
"NLTCG";"AEX TECHNOLOGY GR";"Netherlands";"EUR"
"NLTEC";"AEX TECHNOLOGY";"Netherlands";"EUR"
"NLTEL";"AEX TELECOM.";"Netherlands";"EUR"
"NLTHF";"AEX TECH HARDW & EQ";"Netherlands";"EUR"
"NLTLG";"AEX TELECOM GR";"Netherlands";"EUR"
"NOMUC";"Parallel Market Capped Index ";"Saudi Arabia";"SAR"
"NQCNCNY";"NASDAQ China CNY Index";"United States of America";"CNY"
"NQJPJPY";"NASDAQ Japan JPY Index";"United States of America";"JPY"
"NQNONOKT";"NASDAQ Norway NOK TR Index";"United States of America";"NOK"
"NQNZNZD";"NASDAQ New Zealand NZD Index";"United States of America";"NZD"
"NSEBANK";"NIFTY BANK";"United States of America";"INR"
"NSEI";"NIFTY 50";"United States of America";"INR"
"NSMIDCP";"NIFTY NEXT 50";"India";"INR"
"NZ50";"S&P/NZX 50 INDEX GROSS";"New Zealand";"NZD"
"OAAX";"Oslo Axess All-share Index_GI";"Norway";"NOK"
"OAX1010GI";"OAX1010 Energy_GI";"Norway";"NOK"
"OAX10GI";"OAX10 Energy_GI";"Norway";"NOK"
"OAX1510GI";"OAX1510 Materials_GI";"Norway";"NOK"
"OAX15GI";"OAX15 Materials_GI";"Norway";"NOK"
"OAX2010GI";"OAX2010 Capital Goods_GI";"Norway";"NOK"
"OAX2030GI";"OAX2030 Transportation_GI";"Norway";"NOK"
"OAX20GI";"OAX20 Industrials_GI";"Norway";"NOK"
"OAX3030GI";"OAX3030 Household & Personal Pr";"Norway";"NOK"
"OAX30GI";"OAX30 Consumer Staples_GI";"Norway";"NOK"
"OAX35GI";"OAX35 Health Care_GI";"Norway";"NOK"
"OAX5510GI";"OAX5510 Utilities_GI";"Norway";"NOK"
"OAX55GI";"OAX55 Utilities_GI";"Norway";"NOK"
"OBOSX";"Oslo Bors OBX Oil Service Index";"Norway";"NOK"
"OBSFX";"Oslo Bors Seafood Index";"Norway";"NOK"
"OBX";"OBX Total Return Index";"Norway";"NOK"
"OBXASK";"OBX ASK Index";"Norway";"NOK"
"OBXBID";"OBX BID Index";"Norway";"NOK"
"OBXP";"OBX Price Index";"Norway";"NOK"
"OBXW";"OBX Volume-weighted Index";"Norway";"NOK"
"OMXC25";"OMX Copenhagen 25 Index";"Denmark";"DKK"
"OSE101010GI";"OSE101010 Energy Equipment & Se";"Norway";"NOK"
"OSE1010GI";"OSE1010 Energy_GI";"Norway";"NOK"
"OSE10GI";"OSE10 Energy_GI";"Norway";"NOK"
"OSE1510GI";"OSE1510 Materials_GI";"Norway";"NOK"
"OSE15GI";"OSE15 Materials_GI";"Norway";"NOK"
"OSE2010GI";"OSE2010 Capital Goods_GI";"Norway";"NOK"
"OSE2020GI";"OSE2020 Commercial & Prof Servi";"Norway";"NOK"
"OSE203030GI";"OSE203030 Marine_GI";"Norway";"NOK"
"OSE2030GI";"OSE2030 Transportation_GI";"Norway";"NOK"
"OSE20GI";"OSE20 Industrials_GI";"Norway";"NOK"
"OSE2510GI";"OSE2510 Automobiles & Component";"Norway";"NOK"
"OSE2530GI";"OSE2530 Consumer Services_GI";"Norway";"NOK"
"OSE2550GI";"OSE2550 Retailing_GI";"Norway";"NOK"
"OSE25GI";"OSE25 Consumer Discretionary_GI";"Norway";"NOK"
"OSE3020GI";"OSE3020 Food, Beverage & Tobacc";"Norway";"NOK"
"OSE30GI";"OSE30 Consumer Staples_GI";"Norway";"NOK"
"OSE3510GI";"OSE3510 Health Care Equipm & Se";"Norway";"NOK"
"OSE3520GI";"OSE3520 Pharmaceuticals & Biote";"Norway";"NOK"
"OSE35GI";"OSE35 Health Care_GI";"Norway";"NOK"
"OSE4010GI";"OSE4010 Banks_GI";"Norway";"NOK"
"OSE4020GI";"OSE4020 Diversified Financials_";"Norway";"NOK"
"OSE4030GI";"OSE4030 Insurance_GI";"Norway";"NOK"
"OSE40GI";"OSE40 Financials_GI";"Norway";"NOK"
"OSE4510GI";"OSE4510 Software & Services_GI";"Norway";"NOK"
"OSE4520GI";"OSE4520 Technology Hardware & E";"Norway";"NOK"
"OSE4530GI";"OSE4530 Semiconductors & Semic ";"Norway";"NOK"
"OSE45GI";"OSE45 Information Technology_GI";"Norway";"NOK"
"OSE5510GI";"OSE5510 Utilities_GI";"Norway";"NOK"
"OSE55GI";"OSE55 Utilities_GI";"Norway";"NOK"
"OSEAX";"Oslo Bors All-Share Index_GI";"Norway";"NOK"
"OSEBX";"Oslo Bors Benchmark Index_GI";"Norway";"NOK"
"OSEEX";"Oslo Bors Equity Certificate In";"Norway";"NOK"
"OSEFX";"Oslo Bors Mutual Fund Index_GI";"Norway";"NOK"
"OSEMX";"Oslo Bors Mid Cap Index_GI";"Norway";"NOK"
"OSESX";"Oslo Bors Small Cap Index_GI";"Norway";"NOK"
"OSLENX";"OSLO Energy Index";"Norway";"NOK"
"OSLSFX";"OSLO Seafood Index";"Norway";"NOK"
"OSLSHX";"OSLO Shipping Index";"Norway";"NOK"
"PB558";"Pfandbriefbank schweizerischer Hypothekarinstitute AG";"Switzerland";"CHF"
"PB627";"Lyxor Index-L.Co.St.EO 600";"Switzerland";"CHF"
"PENXG";"PRIVATE EQ NXT GR";"Netherlands";"EUR"
"PREUG";"PSI 20 GR";"Portugal";"EUR"
"PREUN";"PSI 20 NR";"Portugal";"EUR"
"PREUT";"PSI 20";"Portugal";"EUR"
"PS3LN";"PSI 20 X3 LEV NR";"Portugal";"EUR"
"PSI20";"PSI 20";"Portugal";"EUR"
"PSI2S";"PSI 20 X2 SHORT GR";"Portugal";"EUR"
"PSI3L";"PSI 20 X3 LEV";"Portugal";"EUR"
"PSI3S";"PSI 20 X3 SHORT GR";"Portugal";"EUR"
"PSIHD";"PSI HIGH DIV NR";"Portugal";"EUR"
"PSILV";"PSI 20 LEVERAGE";"Portugal";"EUR"
"PSINR";"PSI 20 NR";"Portugal";"EUR"
"PSISH";"PSI 20 SHORT GR";"Portugal";"EUR"
"PSITL";"PSI TR LEVERAGE";"Portugal";"EUR"
"PSITR";"PSI 20 GR";"Portugal";"EUR"
"PSIXB";"PSI 20 XBEAR GR";"Portugal";"EUR"
"PTBM";"PSI BASIC MATER GR";"Portugal";"EUR"
"PTBMP";"PSI BASIC MATERIAL";"Portugal";"EUR"
"PTCG";"PSI CONS DISCR GR";"Portugal";"EUR"
"PTCGP";"PSI CONS DISCR";"Portugal";"EUR"
"PTCMP";"PSI CONST & MAT";"Portugal";"EUR"
"PTCS";"PSI CONS STAPL GR";"Portugal";"EUR"
"PTCSP";"PSI CONS STAPLES";"Portugal";"EUR"
"PTEB";"PSI 20 EX BANKS";"Portugal";"EUR"
"PTEBG";"PSI 20 EX BANKS GR";"Portugal";"EUR"
"PTEBN";"PSI 20 EX BANKS NR";"Portugal";"EUR"
"PTFIN";"PSI FINANCIALS GR";"Portugal";"EUR"
"PTFIP";"PSI FINANCIALS";"Portugal";"EUR"
"PTHC";"PSI HEALTH CARE GR";"Portugal";"EUR"
"PTHCP";"PSI HEALTH CARE";"Portugal";"EUR"
"PTIN";"PSI INDUSTRIALS GR";"Portugal";"EUR"
"PTINP";"PSI INDUSTRIALS";"Portugal";"EUR"
"PTOG";"PSI ENERGY GR";"Portugal";"EUR"
"PTOGP";"PSI ENERGY";"Portugal";"EUR"
"PTTEC";"PSI TECHNOLOGY GR";"Portugal";"EUR"
"PTTEL";"PSI TELECOM GR";"Portugal";"EUR"
"PTTEP";"PSI TECHNOLOGY";"Portugal";"EUR"
"PTTLP";"PSI TELECOM";"Portugal";"EUR"
"PTUT";"PSI UTILITIES GR";"Portugal";"EUR"
"PTUTP";"PSI UTILITIES";"Portugal";"EUR"
"PZ450";"RCB OE TL.Z./Norilsk Nickel";"Switzerland";"CHF"
"QBNK";"QE Banks and Financial Services";"Qatar";"QAR"
"QEAS";"QE All Share Index";"Qatar";"QAR"
"QERI";"QE Al Rayan Islamic Index";"Qatar";"QAR"
"QERP";"QE Al Rayan Islamic Index ";"Qatar";"QAR"
"QETR";"QE Total Return Index";"Qatar";"QAR"
"QIND";"QE Industrials Index";"Qatar";"QAR"
"QINS";"QE Insurance Index";"Qatar";"QAR"
"QREA";"QE Real Estate Index";"Qatar";"QAR"
"QTRN";"QE Transportation Index";"Qatar";"QAR"
"REITE";"REIT EUROPE";"Netherlands";"EUR"
"REITG";"REIT EUROPE GR";"Netherlands";"EUR"
"REITN";"REIT EUROPE NR";"Netherlands";"EUR"
"RGBI";"Russian Government Bond Index C";"Russia";"RUB"
"RGBITR";"Moscow Exchange Government Bond";"Russia";"RUB"
"RICIA";"J ROGERS AGRICULT";"Netherlands";"USD"
"RICIE";"JROGERS ENERGY COM";"Netherlands";"USD"
"RICIX";"RICIX";"Netherlands";"USD"
"RNO3L";"RNO3L INDEX";"France";"EUR"
"RNO5L";"RNO5L INDEX";"France";"EUR"
"RT";"RTS Telecom Index";"Russia";"USD"
"RTS";"RTS Index";"Russia";"USD"
"RTSC";"RTS Consumer and Retail Index";"Russia";"USD"
"RTSCR";"RTS Consumer and Retail Index";"Russia";"USD"
"RTSEU";"RTS Electric Utilities Index";"Russia";"USD"
"RTSFN";"RTS Financials Index";"Russia";"USD"
"RTSI";"RTS Index";"Russia";"USD"
"RTSOG";"RTS Oil and Gas Index";"Russia";"USD"
"RTSTL";"RTS Telecom Index";"Russia";"USD"
"RTSTN";"RTS Transport Index";"Russia";"USD"
"RUA";"Russell 3000";"United States of America";"USD"
"RUBMI";"RTS Broad market Index";"Russia";"USD"
"RUT";"Russell 2000";"United States of America";"USD"
"S3L";"INDICE SAN APALANCADO X3";"Spain";"EUR"
"S3S";"INDICE SAN INVERSO X3";"Spain";"EUR"
"S5L";"INDICE SAN APALANCADO X5";"Spain";"EUR"
"SBF120";"SBF 120";"United States of America";"EUR"
"SE2000";"Materials";"Mexico";"MXN"
"SE3000";"Industrials";"Mexico";"MXN"
"SE4000";"Consumer Discretionary & Servic";"Mexico";"MXN"
"SE5000";"Consumer Staples";"Mexico";"MXN"
"SE6000";"HealthCare";"Mexico";"MXN"
"SE7000";"Financial Services";"Mexico";"MXN"
"SE9000";"Telecommunication Services";"Mexico";"MXN"
"SET";"SET Index";"Thailand";"THB"
"SET100";"SET100 Index";"Thailand";"THB"
"SET50";"SET50 Index";"Thailand";"THB"
"SFC";"FX SWISS FRANC INDEX";"United States of America";"USD"
"SG50D";"EN E50 SG EW D50P";"Netherlands";"EUR"
"SG50G";"EN E50 SG EW GR";"Netherlands";"EUR"
"SG50N";"EN E50 SG EW NR";"Netherlands";"EUR"
"SG50P";"EN EURO 50 SG EW";"Netherlands";"EUR"
"SGO5L";"SGO5L INDEX";"France";"EUR"
"SHSZ300";"CSI 300 INDEX";"China";"CNY"
"SKA";"ISE FX Swedish Krona ";"United States of America";"USD"
"SML";"S&P 600";"United States";"USD"
"SOX";"PHLX Semiconductor";"United States of America";"USD"
"SP100";"S&P 100";"United States";"USD"
"SP1500";"S&P Composite 1500";"United States";"USD"
"SP400";"S&P 400";"United States";"USD"
"SP600";"S&P 600";"United States";"USD"
"SPC";"S&P 500";"United States";"USD"
"SPCBMIRWDUSD1";"S&P Developed BMI ";"United States";"USD"
"SPCDNX";"S&P/TSX Venture Composite Index";"Canada";"CAD"
"SPTEST1";"S&P GLOBAL 1200 Materials ";"United States";"USD"
"SPTMI";"S&P TMI";"United States";"USD"
"SPTSECP";"S&P/TSX 60 Capped Index";"Canada";"CAD"
"SPTSECP3";"S&P/TSX Capped Composite Index";"Canada";"CAD"
"SPTSES";"S&P/TSX SmallCap Index";"Canada";"CAD"
"SPTTEN";"S&P/TSX Capped Energy Index";"Canada";"CAD"
"SPTTFS";"S&P/TSX Capped Financial Index";"Canada";"CAD"
"SPTTGD";"S&P/TSX Global Gold Index";"Canada";"CAD"
"SPX";"S&P 500";"United States";"USD"
"SSE180";"SSE 180 Index";"China";"CNY"
"SSE50";"SSE 50 Index";"China";"CNY"
"SSEBI";"SSE Government Bond Index";"China";"CNY"
"SSEC";"SSE Composite Index";"China";"CNY"
"SSECBI";"SSE Corporate Bond Index";"China";"CNY"
"SSEDI";"SSE Dividend Index";"China";"CNY"
"SSEI";"SSE Industrial Index";"China";"CNY"
"SSEM";"SSE Commercial Index";"China";"CNY"
"SSEN";"SSE Conglomerates Index";"China";"CNY"
"SSEP";"SSE Real Estate Index";"China";"CNY"
"SSEU";"SSE Utilities Index";"China";"CNY"
"SSFD";"SSE Fund Index";"China";"CNY"
"SSMI";"SMI PR";"Switzerland";"CHF"
"ST1000";"MATERIALES RT";"Mexico";"MXN"
"ST2000";"INDUSTRIAL RT";"Mexico";"MXN"
"ST3000";"ALIMENTOS RT";"Mexico";"MXN"
"ST5000";"TELECOM RT";"Mexico";"MXN"
"STI";"STI Index";"Singapore";"SGD"
"STNC";"S&P/TSX North Amreican Prefered";"Canada";"CAD"
"STNU";"S&P/TSX North Amreican Prefered";"Canada";"CAD"
"STOXX";"STXE 600 PR.EUR";"Switzerland";"EUR"
"SZS100";"Shenzhen 100 Index R";"China";"CNY"
"SZSA";"SZSE A SHARE INDEX";"China";"CNY"
"SZSA1";"Shenzhen Component R";"China";"CNY"
"SZSB";"SZSE B SHARE INDEX";"China";"CNY"
"SZSB1";"SZSE COMPONENT B";"China";"CNY"
"SZSC";"Shenzhen Component";"China";"CNY"
"SZSC1";"SZSE COMPOSITE INDEX";"China";"CNY"
"T3L";"INDICE TEF APALANCADO X3";"Spain";"EUR"
"T3S";"INDICE TEF INVERSO X3";"Spain";"EUR"
"T5L";"INDICE TEF APALANCADO X5";"Spain";"EUR"
"TASI";"Tadawul All Shares Index";"Saudi Arabia";"SAR"
"TBNI";"Banks Index";"Saudi Arabia";"SAR"
"TCGI";"Capital Goods Index";"Saudi Arabia";"SAR"
"TCPI";"Commercial & Professional Svc I";"Saudi Arabia";"SAR"
"TCSI";"Consumer Svc Index";"Saudi Arabia";"SAR"
"TDAI";"Consumer Durables & Apparel Ind";"Saudi Arabia";"SAR"
"TDFI";"Diversified Financials Index";"Saudi Arabia";"SAR"
"TFBI";"Food & Beverages Index";"Saudi Arabia";"SAR"
"TFSI";"Food & Staples Retailing Index";"Saudi Arabia";"SAR"
"TISI";"Insurance Index";"Saudi Arabia";"SAR"
"TMDI";"Media & Entertainment Index";"Saudi Arabia";"SAR"
"TMTI";"Materials Index";"Saudi Arabia";"SAR"
"TRLI";"Retailing Index";"Saudi Arabia";"SAR"
"TRMI";"Real Estate Mgmt & Dev't Index";"Saudi Arabia";"SAR"
"TRTI";"REITs Index";"Saudi Arabia";"SAR"
"TS";"Tenaris S.A.";"Mexico";"MXN"
"TSBI";"Tadawul Sukuk & Bonds Index";"Saudi Arabia";"SAR"
"TSSI";"Software & Svc Index";"Saudi Arabia";"SAR"
"TTNI";"Transportation Index";"Saudi Arabia";"SAR"
"TTSI";"Telecommunication Svc Index";"Saudi Arabia";"SAR"
"TUTI";"Utilities Index";"Saudi Arabia";"SAR"
"TWII";"TSEC weighted index";"Taiwan";"TWD"
"TX60";"S&P/TSX 60 Index";"Canada";"CAD"
"TXBE";"S&P/TSX Equal Weight Global Bas";"Canada";"CAD"
"TXCT";"S&P/TSX Clean Technology Index";"Canada";"CAD"
"TXDC";"S&P/TSX Composite Dividend Inde";"Canada";"CAD"
"TXDE";"S&P/TSX Equal Weight Diversifie";"Canada";"CAD"
"TXDV";"S&P/TSX Canadian Dividend Arist";"Canada";"CAD"
"TXEI";"S&P/TSX Equity Income Index";"Canada";"CAD"
"TXEW";"S&P/TSX 60 Equal Weight Index";"Canada";"CAD"
"TXGE";"S&P/TSX Equal Weight Global Gol";"Canada";"CAD"
"TXGM";"S&P/TSX Global Mining Index";"Canada";"CAD"
"TXHB";"S&P/TSX Composite High Beta Ind";"Canada";"CAD"
"TXHE";"S&P/TSX High Income Energy Inde";"Canada";"CAD"
"TXHU";"S&P/TSX High Income Energy Inde";"Canada";"CAD"
"TXIE";"S&P/TSX Equal Weight Industrial";"Canada";"CAD"
"TXLV";"S&P/TSX Composite Low Volatilit";"Canada";"CAD"
"TXOE";"S&P/TSX Equal Weight Oil & Gas ";"Canada";"CAD"
"TXPR";"S&P/TSX Preferred Share Index";"Canada";"CAD"
"TXSI";"S&P/TSX 60 Shariah Index";"Canada";"CAD"
"UG2L";"UG2L INDEX";"France";"EUR"
"UG3L";"UG3L INDEX";"France";"EUR"
"UG5I";"UG5I Index";"France";"EUR"
"UX";"IBEX 35. APALANCADO NETO X10";"Spain";"EUR"
"VAEX";"AEX VOLAT.INDEX";"Netherlands";"EUR"
"VFTSE";"FTSE100 VOLAT.INDX";"Netherlands";"EUR"
"VIV3L";"VIV3L INDEX";"Netherlands";"EUR"
"VIX";"CBOE Volatility Index";"United States of America";"USD"
"VK5L";"VK5L INDEX";"Netherlands";"EUR"
"VOLQ";"Nasdaq-100 Volatility Index VOL";"United States of America";"USD"
"VX3MA";"CBOE VIX3M Indicative Ask";"United States of America";"USD"
"VX3MB";"CBOE VIX3M Indicative Bid";"United States of America";"USD"
"VX3MF";"CBOE Far-Term VIX3M";"United States of America";"USD"
"VX3MN";"CBOE Near-Term VIX3M";"United States of America";"USD"
"VXN";"CBOE NASDAQ 100 Voltility";"United States of America";"USD"
"W5000";"Wilshire 5000 Total Market Inde";"United States of America";"USD"
"WLENG";"EN CDP ENV W EW GR";"Netherlands";"EUR"
"WLENN";"EN CDP ENV W EW NR";"Netherlands";"EUR"
"WLENP";"EN CDP ENV W EW";"Netherlands";"EUR"
"WLENV";"EN CDP E W EW D5%";"Netherlands";"EUR"
"XSP";"S&P 500 MINI SPX OPTIONS INDEX";"United States of America";"USD"
"Z203C";"AEX/CITI P-WT OPEN";"Netherlands";"EUR"
